state_code,date,commodity,total_allocated_qty
BR,2020-01-31,rice,514442.45
BR,2020-01-31,wheat,342949.56
BR,2020-02-29,rice,490556.05
BR,2020-02-29,wheat,327039.52
BR,2020-03-31,rice,482881.14
BR,2020-03-31,wheat,321920.38
BR,2020-04-30,rice,287722.52
BR,2020-04-30,wheat,191634.44
BR,2020-05-31,rice,274032.92
BR,2020-05-31,wheat,182691.06
BR,2020-06-30,rice,263905.52
BR,2020-06-30,wheat,175937.25
BR,2020-07-31,rice,269070.83
BR,2020-07-31,wheat,179375.9
BR,2020-08-31,rice,254584.4
BR,2020-08-31,wheat,169725.53
BR,2020-09-30,rice,294231.69
BR,2020-09-30,wheat,196154.4
BR,2020-10-31,rice,294342.34
BR,2020-10-31,wheat,196228.23
BR,2020-11-30,rice,294494.08999999997
BR,2020-11-30,wheat,196329.38
BR,2020-12-31,rice,294589.23
BR,2020-12-31,wheat,196392.79
BR,2021-01-31,rice,294589.16
BR,2021-01-31,wheat,196392.76
BR,2021-02-28,rice,269187.41
BR,2021-02-28,wheat,179458.3
BR,2021-03-31,rice,269187.41
BR,2021-03-31,wheat,179458.3
BR,2021-04-30,rice,292948.77999999997
BR,2021-04-30,wheat,195299.18
BR,2021-05-31,rice,271699.43
BR,2021-05-31,wheat,181132.97
BR,2021-06-30,rice,271921.41
BR,2021-06-30,wheat,181280.92
BR,2021-07-31,rice,279386.39
BR,2021-07-31,wheat,186256.55
BR,2021-08-31,rice,275318.45
BR,2021-08-31,wheat,183545.62
CG,2017-08-31,rice,114.53
CG,2017-09-30,rice,113.91000000000001
CG,2017-10-31,rice,115270.32
CG,2017-11-30,rice,115448.29000000001
CG,2017-12-31,rice,115528.49
CG,2018-01-31,rice,234881.62
CG,2018-02-28,rice,32049.83
CG,2018-03-31,rice,160099.97
CG,2018-04-30,rice,103649.65
CG,2018-05-31,rice,119621.84
CG,2018-06-30,rice,124848.29000000001
CG,2018-07-31,rice,119480.04000000001
CG,2018-08-31,rice,118011.72
CG,2018-09-30,rice,117291.27
CG,2018-10-31,rice,235160.04
CG,2018-11-30,rice,118763.37
CG,2018-12-31,rice,118702.39
CG,2019-01-31,rice,118796.19
CG,2019-02-28,rice,118928.79
CG,2019-03-31,rice,117304.82
CG,2019-04-30,rice,118773.93
CG,2019-05-31,rice,115905.36
CG,2019-06-30,rice,118452.8
CG,2019-07-31,rice,117527.73
CG,2019-08-31,rice,117166.70999999999
CG,2019-09-30,rice,116860.68
CG,2019-10-31,rice,118301.24
CG,2019-11-30,rice,118329.49
CG,2019-12-31,rice,118086.49
CG,2020-01-31,rice,117813.07
CG,2020-02-29,rice,117818.65
CG,2020-03-31,rice,115680.09999999999
CG,2020-04-30,rice,116977.8
CG,2020-05-31,rice,116963.74
CG,2020-06-30,rice,116902.45
CG,2020-07-31,rice,117824.13
